"FMID","Market_Name","Address_Street_Number","Address_City","Address_State","Address_Zip","Latitude","Longitude","Spring_Day_A","Spring_Freq_A","Spring_Day_B","Spring_Freq_B","Summer_Day_A","Summer_Freq_A","Summer_Day_B","Summer_Freq_B","Fall_Day_A","Fall_Freq_A","Fall_Day_B","Fall_Freq_B","Accepts_CreditCards","Items","UpdateTime"
"1000405134","Wisconsin Home Grown Farmers Market","8895 Woodland Drive","Fifield","WI","54524","45.869224","-90.419875","","","","","Saturday","every other week","Wednesday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2012/4/5"
"1000783412","Erwin Farmers Market","491 Front Street North","Erwin","TN","37650","36.140224","-82.408766","Wednesday","every other week","","","Sunday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017 Aug 16"
"1000781373","Ridge Road Farmers Market","989 Ridge Road","Brooklyn","NY","11235","40.63993","-73.938999","","","","","Sunday","weekly","","","Saturday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2013/5/19"
"1000783371","Toano Farmers Market","104 Madison Avenue","Toano","VA","23168","37.370512","-76.798882","","","","","SUNDAY","WEEKLY","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2015/2/22"
"1000159765","5th Street West Farmers Market","5913 5th Street West","Saint Louis","MO","63146","38.628971","-90.239076","Saturday","weekly","","","Friday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2014 Jan 09"
"1000489848","New York Home Grown Farmers Market","22329 6th Street","Yonkers","NY","10705","40.939028","-73.860413","Friday","weekly","","","Sunday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2017/3/5"
"1000593501","1st Street Farmers Market","416 1st Street","Warsaw","IN","46582","41.231139","-85.848768","Saturday","every other week","","","Sunday","first of month","Saturday","every other week","Saturday","weekly","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2017 Oct 22"
"1000601619","Texas Home Grown Market","797 Adams ST","Odessa","TX","79765","31.848406","-102.360641","Saturday","weekly","","","Sunday","first of month","Saturday","weekly","Sunday","weekly","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2014/9/5"
"1000636674","Glenwood Avenue Farmers Market","9195 Glenwood Avenue","Huntsville","TX","77340","30.708891","-95.53962","Friday","every other week","","","Saturday","weekly","","","Friday","every other week","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2014/9/24"
"1000772585","Broad Street Farmers Market","832 Broad Street","Budd Lake","NJ","7828","40.868491","-74.730194","","","","","SUNDAY","WEEKLY","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2013/8/21"
"1000378876","Dogwood Lane Farmers Market","6328 Dogwood Lane","Amelia","OH","45102","39.020651","-84.209596","Friday","weekly","","","Saturday","every other week","","","Saturday","every other week","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:Y|crafts:N","2014/7/31"
"1000430373","6th ST Farmers Market","51157 6th ST","Killeen","TX","76542","31.090503","-97.70997","","","","","SATURDAY","WEEKLY","WEDNESDAY","EVERY OTHER WEEK","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2013 Apr 23"
"1000056579","Texas Home Grown Farmers Market","6376 Willow Street","Lancaster","TX","75146","32.590026","-96.778266","Saturday","weekly","","","","","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2013/9/24"
